Country,Year,Inflation Index
Niger (the),2007,88.60997933
Niger (the),2008,98.62743486
Niger (the),2009,99.20234068
Niger (the),2010,100
Niger (the),2011,102.9423851
Niger (the),2012,103.4108655
Niger (the),2013,105.7877866
Niger (the),2014,104.8097312
Niger (the),2015,105.8650448
Niger (the),2016,106.0458618
Niger (the),2017,
Pakistan,2002,45.86908236
Pakistan,2003,47.2057692
Pakistan,2004,50.72006155
Pakistan,2005,55.31698677
Pakistan,2006,59.69869198
Pakistan,2007,64.23500719
Pakistan,2008,77.26579853
Pakistan,2009,87.81085319
Pakistan,2010,100
Pakistan,2011,111.9167695
Pakistan,2012,122.7559684
Pakistan,2013,132.195293
Pakistan,2014,141.7023438
Pakistan,2015,145.3008974
Pakistan,2016,150.7534528
Pakistan,2017,
Peru,2002,80.88287404
Peru,2003,82.71032352
Peru,2004,85.73956695
Peru,2005,87.12537724
Peru,2006,88.86985208
Peru,2007,90.45172341
Peru,2008,95.68514795
Peru,2009,98.49468544
Peru,2010,100
Peru,2011,103.370685
Peru,2012,107.1475732
Peru,2013,110.1653876
Peru,2014,113.7193746
Peru,2015,117.7625489
Peru,2016,121.9969631
Peru,2017,
Philippines (the),2002,68.87966805
Philippines (the),2003,70.45643154
Philippines (the),2004,73.85892116
Philippines (the),2005,78.67219917
Philippines (the),2006,82.98755187
Philippines (the),2007,85.39419087
Philippines (the),2008,92.44813278
Philippines (the),2009,96.34854772
Philippines (the),2010,100
Philippines (the),2011,104.6473029
Philippines (the),2012,107.966805
Philippines (the),2013,111.2033195
Philippines (the),2014,115.7676349
Philippines (the),2015,117.4273859
Philippines (the),2016,119.5020747
Philippines (the),2017,
Romania,2002,52.70154164
Romania,2003,60.7511599
Romania,2004,67.96649489
Romania,2005,74.07604172
Romania,2006,78.95364418
Romania,2007,82.77166823
Romania,2008,89.26785788
Romania,2009,94.25584539
Romania,2010,100
Romania,2011,105.7877774
Romania,2012,109.3145306
Romania,2013,113.671108
Romania,2014,114.8862079
Romania,2015,114.2045665
Romania,2016,112.44764
Romania,2017,
South Africa,2002,64.5441574
South Africa,2003,68.32578662
South Africa,2004,69.27235965
South Africa,2005,71.62713494
South Africa,2006,74.95179786
South Africa,2007,80.27219113
South Africa,2008,89.53275294
South Africa,2009,95.91643823
South Africa,2010,100
South Africa,2011,105.0004726
South Africa,2012,110.9367615
South Africa,2013,117.3173268
South Africa,2014,124.4352018
South Africa,2015,130.1446261
South Africa,2016,138.3779185
South Africa,2017,
Sri Lanka,2002,45.62256855
Sri Lanka,2003,48.50346854
Sri Lanka,2004,52.17805534
Sri Lanka,2005,58.2514172
Sri Lanka,2006,64.08831615
Sri Lanka,2007,74.24125865
Sri Lanka,2008,90.99342414
Sri Lanka,2009,94.14631282
Sri Lanka,2010,100
Sri Lanka,2011,106.7167684
Sri Lanka,2012,114.7663222
Sri Lanka,2013,122.69845
Sri Lanka,2014,126.0889598
Sri Lanka,2015,128.9093839
Sri Lanka,2016,134.0501569
Sri Lanka,2017,
Tajikistan,2002,44.11267263
Tajikistan,2003,51.30457833
Tajikistan,2004,54.9687334
Tajikistan,2005,58.86707884
