Country,Year,Type of event,Total affected,Total Damage
Haiti,2009,Flood,12706,0
Haiti,2010,Earthquake,3700000,8000000000
Haiti,2010,Flood,22087,0
Haiti,2010,Storm,78142,0
Haiti,2011,Flood,4438,0
Haiti,2011,Storm,3044,0
Haiti,2012,Flood,26465,0
Haiti,2012,Storm,209857,254000000
Haiti,2013,Flood,33265,0
Haiti,2014,Drought,1000000,2000000
Haiti,2014,Flood,30000,0
Haiti,2015,Flood,45000,0
Haiti,2015,Storm,1969,0
Haiti,2016,Drought,3600000,84000000
Haiti,2016,Flood,94505,2000000
Haiti,2016,Storm,2100439,2000000000
Haiti,2017,Flood,0,0
Haiti,2017,Storm,19190,0
Honduras,2002,Drought,82000,0
Honduras,2002,Flood,2689,100000000
Honduras,2003,Flood,3105,20000000
Honduras,2004,Drought,137500,0
Honduras,2005,Flood,800,0
Honduras,2005,Storm,103869,115500000
Honduras,2006,Flood,1500,8000000
Honduras,2007,Earthquake,1883,0
Honduras,2007,Flood,15500,0
Honduras,2007,Storm,19500,6579000
Honduras,2008,Flood,313357,0
Honduras,2008,Storm,0,0
Honduras,2009,Drought,45000,0
Honduras,2009,Earthquake,50136,100000000
Honduras,2010,Flood,5010,0
Honduras,2010,Storm,24675,90000000
Honduras,2011,Flood,69798,0
Honduras,2012,Drought,125000,0
Honduras,2014,Drought,571710,0
Honduras,2014,Flood,23000,1400000
Honduras,2016,Flood,450500,0
Honduras,2016,Storm,151,0
Honduras,2017,Flood,1045,0
India,2002,Drought,300000000,910722000
India,2002,Earthquake,200,0
India,2002,Flood,42008250,50772000
India,2002,Storm,15250,416000
India,2003,Flood,7564545,169000000
India,2003,Storm,531314,44000000
India,2004,Earthquake,654512,1022800000
India,2004,Flood,33206000,2776000000
India,2005,Earthquake,156622,1000000000
India,2005,Flood,28281571,6190000000
India,2005,Storm,68590,0
India,2006,Flood,7234178,3390000000
India,2006,Storm,150300,0
India,2007,Flood,38143008,376151000
India,2007,Storm,0,0
India,2008,Flood,13989018,145000000
India,2008,Storm,50,25000000
India,2009,Drought,0,0
India,2009,Flood,5986008,2434000000
India,2009,Storm,5109085,300000000
India,2010,Flood,3772408,2149000000
India,2010,Storm,507080,0
India,2011,Earthquake,575200,0
India,2011,Flood,12004069,1657000000
India,2011,Storm,250050,375625000
India,2012,Flood,4210860,244000000
India,2012,Storm,70000,0
India,2013,Earthquake,59350,120000000
India,2013,Flood,3419473,1362000000
India,2013,Storm,13230004,895471000
India,2014,Flood,5222500,16465000000
India,2014,Storm,931564,7000000000
India,2015,Drought,330000000,3000000000
India,2015,Earthquake,570,0
India,2015,Flood,16413459,2880000000
India,2015,Storm,135100,1069000000
India,2016,Earthquake,10808,75000000
India,2016,Flood,3806000,1499000000
India,2016,Storm,0,1000000000
India,2017,Flood,15621831,0
India,2017,Storm,12,0
Indonesia,2002,Earthquake,11845,0
Indonesia,2002,Flood,591570,351600000
Indonesia,2003,Drought,15000,1000000
Indonesia,2003,Earthquake,3249,0
Indonesia,2003,Flood,438428,0
Indonesia,2004,Earthquake,673731,4519600000
Indonesia,2004,Flood,13000,60000000
Indonesia,2004,Storm,3715,0
Indonesia,2005,Earthquake,105997,0
Indonesia,2005,Flood,20790,0
Indonesia,2006,Earthquake,3215982,3155000000
Indonesia,2006,Flood,698908,107300000
Indonesia,2007,Earthquake,619496,700000000
Indonesia,2007,Flood,569547,971000000
Indonesia,2008,Earthquake,10727,0
Indonesia,2008,Flood,476195,1733000
Indonesia,2009,Earthquake,2850399,2381430000
Indonesia,2009,Flood,26804,0
Indonesia,2010,Earthquake,16464,0
Indonesia,2010,Flood,56590,78000000
Indonesia,2011,Earthquake,95,5850000
Indonesia,2011,Flood,19864,0
Indonesia,2012,Earthquake,7990,0
Indonesia,2012,Flood,33320,0
Indonesia,2012,Storm,10550,1000000
Indonesia,2013,Earthquake,59188,130000000
Indonesia,2013,Flood,591276,3006000000
Indonesia,2014,Flood,423227,928000000
Indonesia,2015,Drought,0,0
Indonesia,2015,Earthquake,12247,0
Indonesia,2015,Flood,67309,235000000
Indonesia,2016,Earthquake,89796,100000000
Indonesia,2016,Flood,392009,108000000
Indonesia,2017,Flood,308190,21000000
Iran (Islamic Republic Of),2002,Earthquake,147156,300000000
Iran (Islamic Republic Of),2002,Flood,204500,63060000
Iran (Islamic Republic Of),2003,Earthquake,297049,521666000
Iran (Islamic Republic Of),2003,Flood,1370,838000
Iran (Islamic Republic Of),2004,Earthquake,498,165000000
Iran (Islamic Republic Of),2004,Flood,4053,0
Iran (Islamic Republic Of),2004,Storm,2500,240000
Iran (Islamic Republic Of),2005,Earthquake,116888,80000000
Iran (Islamic Republic Of),2005,Flood,4750,0
Iran (Islamic Republic Of),2005,Storm,8000,0
Iran (Islamic Republic Of),2006,Earthquake,168494,42262000
Iran (Islamic Republic Of),2006,Flood,2800,16000000
Iran (Islamic Republic Of),2007,Flood,0,22000000
Iran (Islamic Republic Of),2007,Storm,185009,0
Iran (Islamic Republic Of),2008,Earthquake,20715,0
Iran (Islamic Republic Of),2008,Flood,1480,0
Iran (Islamic Republic Of),2008,Storm,0,0
Iran (Islamic Republic Of),2009,Earthquake,269,0
Iran (Islamic Republic Of),2010,Earthquake,4785,0
Iran (Islamic Republic Of),2012,Earthquake,67307,500000000
Iran (Islamic Republic Of),2012,Flood,1000,0
Iran (Islamic Republic Of),2013,Earthquake,5997,600000000
Iran (Islamic Republic Of),2014,Earthquake,12580,45000000
Iran (Islamic Republic Of),2014,Flood,440000,49000000
Iran (Islamic Republic Of),2015,Flood,26430,636000000
Iran (Islamic Republic Of),2016,Storm,2000,0
Iran (Islamic Republic Of),2017,Earthquake,2262,2000000
Iran (Islamic Republic Of),2017,Flood,0,0
Jamaica,2002,Flood,25000,20000000
Jamaica,2002,Storm,1500,1030000
Jamaica,2004,Storm,350126,895000000
Jamaica,2005,Storm,10396,34500000
Jamaica,2006,Flood,5000,0
Jamaica,2007,Storm,33188,300000000
Jamaica,2008,Storm,4000,66198000
Jamaica,2010,Storm,2506,150000000
Jamaica,2012,Storm,215850,16542000
Jamaica,2014,Drought,91545,0
Jamaica,2016,Storm,125000,0
Kenya,2002,Flood,175008,0
Kenya,2003,Flood,60300,0
Kenya,2004,Drought,2300000,0
Kenya,2004,Earthquake,0,100000000
Kenya,2004,Flood,12000,0
Kenya,2005,Drought,3500000,0
Kenya,2005,Flood,36200,500000
Kenya,2006,Flood,783300,0
Kenya,2007,Flood,42651,0
Kenya,2008,Drought,3800000,0
Kenya,2008,Flood,62438,0
Kenya,2009,Flood,136200,0
Kenya,2010,Flood,211164,0
Kenya,2011,Drought,8050000,0
Kenya,2011,Flood,100692,0
Kenya,2012,Flood,280670,100000000
Kenya,2013,Flood,115800,36000000
Kenya,2014,Drought,1600000,0
Kenya,2015,Flood,245299,0
Kenya,2016,Drought,3000000,0
Kenya,2016,Flood,11000,0
Kenya,2017,Flood,25000,0
Kyrgyzstan,2005,Flood,2050,2660000
Kyrgyzstan,2006,Earthquake,12050,0
Kyrgyzstan,2006,Storm,9075,0
Kyrgyzstan,2007,Flood,845,200000
Kyrgyzstan,2008,Earthquake,4197,0
Kyrgyzstan,2009,Drought,2000000,0
Kyrgyzstan,2011,Earthquake,0,0
Kyrgyzstan,2012,Flood,11000,0
Kyrgyzstan,2014,Storm,0,0
Kyrgyzstan,2015,Earthquake,16780,12000000
Laos,2002,Flood,150000,0
Laos,2008,Flood,204190,0
Laos,2009,Flood,0,0
Laos,2009,Storm,128887,100000
Laos,2011,Flood,467000,0
Laos,2013,Flood,574253,121000
Laos,2014,Flood,750,0
Laos,2015,Flood,47940,10000
Laos,2016,Flood,26328,50
Laos,2017,Storm,0,0
Madagascar,2002,Drought,600000,0
Madagascar,2002,Storm,528100,181000
Madagascar,2003,Flood,23370,150000000
Madagascar,2003,Storm,162750,0
Madagascar,2004,Storm,1032429,250000000
Madagascar,2005,Drought,14000,0
Madagascar,2005,Flood,59617,0
Madagascar,2005,Storm,7985,0
Madagascar,2006,Storm,6516,0
Madagascar,2007,Flood,33000,0
Madagascar,2007,Storm,222511,240000000
Madagascar,2008,Drought,720000,0
Madagascar,2008,Storm,533166,60000000
Madagascar,2009,Storm,130799,5000000
Madagascar,2010,Storm,192132,0
Madagascar,2011,Storm,115215,0
Madagascar,2012,Storm,335599,100000000
Madagascar,2013,Storm,44879,25000000
Madagascar,2014,Drought,20000,0
Madagascar,2014,Storm,1736,0
Madagascar,2015,Flood,24000,0
Madagascar,2015,Storm,182437,46000000
Madagascar,2016,Drought,1140000,0
Madagascar,2017,Storm,434253,20000000
Mexico,2002,Drought,0,210000000
Mexico,2002,Flood,7000,0
Mexico,2002,Storm,509530,840000000
Mexico,2003,Earthquake,178603,116300000
Mexico,2003,Flood,53850,0
Mexico,2003,Storm,9000,100000000
Mexico,2004,Flood,4090,3600000
Mexico,2005,Flood,14000,0
Mexico,2005,Storm,2969571,7910000000
Mexico,2006,Flood,0,0
Mexico,2006,Storm,270700,2700000
Mexico,2007,Flood,1655000,3000000000
Mexico,2007,Storm,203000,600000000
Mexico,2008,Flood,20000,0
Mexico,2008,Storm,500000,75000000
Mexico,2009,Flood,140184,0
Mexico,2009,Storm,112000,40000000
Mexico,2010,Earthquake,25232,1150000000
Mexico,2010,Flood,1020000,16000000
Mexico,2010,Storm,555075,5900000000
Mexico,2011,Drought,2500000,0
Mexico,2011,Earthquake,152,0
Mexico,2011,Flood,480000,0
Mexico,2011,Storm,550450,97700000
Mexico,2012,Earthquake,49011,320000000
Mexico,2012,Storm,87000,855000000
Mexico,2013,Flood,0,0
Mexico,2013,Storm,172000,5702000000
Mexico,2014,Earthquake,27381,0
Mexico,2014,Storm,144135,2541500000
Mexico,2015,Flood,3000,0
Mexico,2015,Storm,18791,825000000
Mexico,2016,Flood,53000,25000000
Mexico,2016,Storm,21500,50000000
Mexico,2017,Earthquake,200,0
Mexico,2017,Storm,900,2000000
Morocco,2002,Flood,15017,200000000
Morocco,2003,Flood,10000,0
Morocco,2004,Earthquake,13465,400000000
Morocco,2005,Storm,0,50000
Morocco,2006,Flood,2100,0
Morocco,2008,Flood,20000,0
Morocco,2009,Flood,9520,0
Morocco,2010,Flood,77009,29000000
Morocco,2014,Flood,0,0
Morocco,2014,Storm,117000,300000000
Mozambique,2002,Drought,600000,0
Mozambique,2002,Flood,500,0
Mozambique,2002,Storm,4017,0
Mozambique,2003,Drought,119500,0
Mozambique,2003,Flood,515003,0
Mozambique,2003,Storm,23010,0
Mozambique,2005,Drought,1400000,0
Mozambique,2005,Flood,47837,0
Mozambique,2006,Earthquake,1476,0
Mozambique,2007,Drought,520000,0
Mozambique,2007,Flood,402035,171000000
Mozambique,2007,Storm,162770,0
Mozambique,2008,Drought,500000,0
Mozambique,2008,Flood,3500,0
Mozambique,2008,Storm,220013,20000000
Mozambique,2009,Flood,6925,0
Mozambique,2009,Storm,7103,3000000
Mozambique,2010,Drought,460000,0
Mozambique,2010,Flood,17000,0
Mozambique,2011,Flood,63946,0
Mozambique,2011,Storm,0,0
Mozambique,2012,Storm,109958,0
Mozambique,2013,Flood,315986,30000000
Mozambique,2014,Flood,300,0
Mozambique,2015,Flood,177645,0
Mozambique,2016,Drought,2300000,0
Mozambique,2016,Flood,171600,0
Mozambique,2016,Storm,1700,1644000
Mozambique,2017,Storm,750102,17000000
Myanmar,2002,Flood,50000,0
Myanmar,2004,Earthquake,15700,500000000
Myanmar,2004,Storm,25000,688000
Myanmar,2006,Flood,10000,0
Myanmar,2006,Storm,60106,0
Myanmar,2007,Flood,166664,0
Myanmar,2008,Storm,2420000,4000000000
Myanmar,2010,Storm,260049,57000000
Myanmar,2011,Earthquake,21277,3600000
Myanmar,2011,Flood,35734,1700000
Myanmar,2012,Earthquake,1486,1170000
Myanmar,2012,Flood,85000,0
Myanmar,2013,Flood,73300,0
Myanmar,2014,Flood,40000,0
Myanmar,2015,Flood,1635703,119000000
Myanmar,2015,Storm,0,0
Myanmar,2016,Earthquake,1152,10000000
Myanmar,2016,Flood,852227,2000000
Myanmar,2016,Storm,99956,4600000
Myanmar,2017,Flood,92000,0
Myanmar,2017,Storm,107520,0
Namibia,2002,Drought,345000,0
Namibia,2003,Flood,12000,0
Namibia,2004,Flood,25000,0
Namibia,2006,Flood,2300,8490000
Namibia,2007,Flood,15000,0
Namibia,2008,Flood,65000,0
Namibia,2009,Flood,350000,0
Namibia,2010,Flood,110000,0
Namibia,2011,Flood,500000,12000000
Namibia,2012,Flood,650,0
Namibia,2013,Drought,780000,64000000
Namibia,2013,Flood,14500,0
Namibia,2015,Drought,580000,60000000
Namibia,2017,Flood,2502,0
Nepal,2003,Flood,59254,0
Nepal,2004,Flood,800015,0
Nepal,2005,Flood,31600,0
Nepal,2006,Drought,200000,0
Nepal,2006,Flood,0,0
Nepal,2007,Flood,640706,2400000
Nepal,2008,Flood,250003,29000
Nepal,2009,Drought,303000,0
Nepal,2009,Flood,257786,60000000
Nepal,2010,Flood,8000,0
Nepal,2011,Earthquake,167949,0
Nepal,2011,Flood,1858,0
Nepal,2012,Flood,5,1000000
Nepal,2013,Flood,16823,0
Nepal,2014,Flood,187294,0
Nepal,2014,Storm,175,0
Nepal,2015,Earthquake,5642150,5174000000
Nepal,2016,Flood,20574,15000000
Nepal,2017,Flood,1506025,0
Nicaragua,2002,Flood,13546,50000
Nicaragua,2002,Storm,300,1000000
Nicaragua,2004,Storm,200,0
Nicaragua,2005,Storm,13643,0
Nicaragua,2007,Flood,24000,0
Nicaragua,2007,Storm,188726,0
Nicaragua,2008,Flood,14188,0
Nicaragua,2008,Storm,25000,0
Nicaragua,2009,Flood,6885,0
Nicaragua,2009,Storm,19897,0
Nicaragua,2010,Flood,75860,0
Nicaragua,2010,Storm,0,0
Nicaragua,2011,Flood,143018,0
Nicaragua,2012,Flood,29500,0
Nicaragua,2013,Flood,14149,0
Nicaragua,2014,Drought,460000,0
Nicaragua,2014,Earthquake,12281,3000000
Nicaragua,2014,Flood,60345,0
Nicaragua,2015,Flood,3750,0
