Country,Year,Type of event,Total affected,Total Damage
Morocco,2003,Flood,40,525000
Morocco,2004,Earthquake,15238,0
Morocco,2008,Flood,20004,0
Morocco,2009,Flood,7000,120000
Morocco,2010,Flood,0,25000
Mozambique,2002,Drought,504018,0
Mozambique,2002,Flood,513636,0
Mozambique,2002,Storm,38677,0
Mozambique,2003,Drought,1038388,0
Mozambique,2003,Flood,525777,0
Mozambique,2003,Storm,148466,0
Mozambique,2004,Drought,661025,0
Mozambique,2004,Flood,162298,0
Mozambique,2004,Storm,393200,0
Mozambique,2005,Drought,1363703,0
Mozambique,2005,Flood,352815,0
Mozambique,2005,Storm,37572,0
Mozambique,2006,Drought,673065,0
Mozambique,2006,Earthquake,1440,0
Mozambique,2006,Flood,257195,0
Mozambique,2006,Storm,13642,0
Mozambique,2007,Drought,435060,0
Mozambique,2007,Flood,1363279,0
Mozambique,2007,Storm,264807,0
Mozambique,2008,Drought,315975,0
Mozambique,2008,Flood,522687,0
Mozambique,2008,Storm,2394411,0
Mozambique,2009,Drought,236949,0
Mozambique,2009,Flood,36794,0
Mozambique,2009,Storm,10609,0
Mozambique,2010,Drought,86581,0
Mozambique,2010,Flood,8770,0
Mozambique,2010,Storm,7580,0
Mozambique,2011,Flood,130176,0
Mozambique,2011,Storm,11556,0
Mozambique,2012,Drought,1950,0
Mozambique,2012,Flood,30777,0
Mozambique,2012,Storm,12848,0
Nepal,2002,Flood,370439,0
Nepal,2002,Storm,1620,0
Nepal,2003,Drought,0,0
Nepal,2003,Flood,334409,0
Nepal,2003,Storm,54030,0
Nepal,2004,Drought,310,0
Nepal,2004,Flood,259595,0
Nepal,2004,Storm,1,0
Nepal,2005,Drought,80500,0
Nepal,2005,Flood,11247,0
Nepal,2005,Storm,750,0
Nepal,2006,Drought,4247,0
Nepal,2006,Flood,965,0
Nepal,2006,Storm,0,0
Nepal,2007,Flood,53100,0
Nepal,2007,Storm,304,0
Nepal,2008,Drought,206050,0
Nepal,2008,Flood,179589,0
Nepal,2008,Storm,4348,0
Nepal,2009,Drought,300013,0
Nepal,2009,Flood,18581,0
Nepal,2009,Storm,10967,0
Nepal,2010,Drought,105,0
Nepal,2010,Flood,134592,0
Nepal,2010,Storm,9098,0
Nepal,2011,Earthquake,35057,0
Nepal,2011,Flood,279864,0
Nepal,2011,Storm,18649,0
Nepal,2012,Earthquake,42,0
Nepal,2012,Flood,450643,0
Nepal,2012,Storm,9912,0
Nepal,2013,Earthquake,98,0
Nepal,2013,Flood,52879,0
Nepal,2013,Storm,2667,0
Nicaragua,2002,Flood,12198,0
Nicaragua,2002,Storm,10,0
Nicaragua,2003,Flood,1140,199123.85
Nicaragua,2003,Storm,155060,0
Nicaragua,2004,Drought,8736,0
Nicaragua,2004,Earthquake,5,0
Nicaragua,2004,Flood,607,0
Nicaragua,2005,Drought,5800,0
Nicaragua,2005,Flood,50489,0
Nicaragua,2005,Storm,1901,0
Nicaragua,2007,Drought,5000,0
Nicaragua,2007,Flood,120370,0
Nicaragua,2008,Drought,53000,0
Nicaragua,2008,Flood,19240,5115.4
Nicaragua,2008,Storm,268,20000
Nicaragua,2009,Drought,7000,0
Nicaragua,2009,Flood,30876,0
Nicaragua,2009,Storm,305,0
Nicaragua,2010,Drought,43050,0
Nicaragua,2010,Flood,64410,0
Nicaragua,2010,Storm,3876,0
Nicaragua,2011,Drought,3700,0
Nicaragua,2011,Flood,4316,0
Nicaragua,2011,Storm,1469,0
Nicaragua,2012,Drought,56925,0
Nicaragua,2012,Flood,9774,42212
Nicaragua,2012,Storm,271,0
Nicaragua,2013,Drought,98037,0
Nicaragua,2013,Flood,52040,0
Nicaragua,2013,Storm,5556,5000
Niger (the),2002,Drought,0,0
Niger (the),2002,Flood,0,0
Niger (the),2004,Drought,0,0
Niger (the),2004,Flood,0,0
Niger (the),2005,Drought,0,0
Niger (the),2005,Flood,0,0
Niger (the),2006,Drought,0,0
Niger (the),2006,Flood,0,0
Niger (the),2007,Drought,0,0
Niger (the),2007,Flood,0,0
Niger (the),2008,Drought,0,0
Niger (the),2008,Flood,0,0
Niger (the),2009,Drought,0,0
Niger (the),2009,Flood,0,0
Niger (the),2010,Drought,0,0
Niger (the),2010,Flood,0,0
Niger (the),2011,Drought,0,0
Niger (the),2011,Flood,0,0
Niger (the),2012,Drought,0,0
Niger (the),2012,Flood,0,0
Niger (the),2013,Drought,0,0
Niger (the),2013,Flood,0,0
Pakistan,2002,Earthquake,23385,0
Pakistan,2002,Flood,40712,0
